2026-06-24T21:13:10.970548059Z [inf]  Starting Container
2026-06-24T21:13:11.251767839Z [inf]  
2026-06-24T21:13:11.251770389Z [inf]  > @workspace/api-server@0.0.0 start /app/artifacts/api-server
2026-06-24T21:13:11.251772989Z [inf]  > node --enable-source-maps ./dist/index.mjs
2026-06-24T21:13:11.251775609Z [inf]  
2026-06-24T21:13:11.251778179Z [inf]  Serving static frontend from directory
2026-06-24T21:13:11.611699385Z [inf]  system_configurations table ready
2026-06-24T21:13:11.658559378Z [inf]  Server listening
2026-06-24T21:13:11.658562768Z [inf]  Cron jobs started
2026-06-24T21:13:11.911445610Z [inf]  request completed
2026-06-24T21:13:12.275245115Z [inf]  Webhook cleared and pending updates dropped
2026-06-24T21:13:12.275247585Z [inf]  Telegram bot polling active
2026-06-24T21:13:16.264879306Z [err]  (node:15) [node-telegram-bot-api] DeprecationWarning: deleteWebHook(...) is deprecated; use deleteWebhook(...) instead.
2026-06-24T21:13:16.264882506Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2026-06-24T21:14:16.204498354Z [inf]  [BOT UPDATE] Event received
2026-06-24T21:14:16.204500794Z [inf]  [BOT UPDATE] Message received
2026-06-24T21:14:16.204503874Z [inf]  Bot onText handler error
2026-06-24T21:14:16.205205863Z [inf]  [BOT UPDATE] Event received
2026-06-24T21:14:16.205209113Z [inf]  [BOT UPDATE] Message received
2026-06-24T21:14:16.205211713Z [inf]  Bot onText handler error
2026-06-24T21:14:20.078298036Z [inf]  request completed
2026-06-24T21:14:20.666734260Z [inf]  request completed
2026-06-24T21:14:20.666737210Z [inf]  request completed
2026-06-24T21:14:21.861808458Z [inf]  request completed
2026-06-24T21:14:21.875813154Z [inf]  request completed
2026-06-24T21:14:22.646062447Z [inf]  request completed
2026-06-24T21:14:22.646066397Z [inf]  Auth failed
2026-06-24T21:14:22.646301914Z [inf]  request completed
2026-06-24T21:14:22.647028093Z [inf]  Auth failed
2026-06-24T21:14:22.647905480Z [inf]  request completed
